DateKey,Date,Year,Quarter,Month,MonthName,Day
20150426,2015-04-26,2015,Q2,4,April,26
20150427,2015-04-27,2015,Q2,4,April,27
20150428,2015-04-28,2015,Q2,4,April,28
20150429,2015-04-29,2015,Q2,4,April,29
20150430,2015-04-30,2015,Q2,4,April,30
20150501,2015-05-01,2015,Q2,5,May,1
20150502,2015-05-02,2015,Q2,5,May,2
20150503,2015-05-03,2015,Q2,5,May,3
20150504,2015-05-04,2015,Q2,5,May,4
20150505,2015-05-05,2015,Q2,5,May,5
20150506,2015-05-06,2015,Q2,5,May,6
20150507,2015-05-07,2015,Q2,5,May,7
20150508,2015-05-08,2015,Q2,5,May,8
20150509,2015-05-09,2015,Q2,5,May,9
20150510,2015-05-10,2015,Q2,5,May,10
20150511,2015-05-11,2015,Q2,5,May,11
20150512,2015-05-12,2015,Q2,5,May,12
20150513,2015-05-13,2015,Q2,5,May,13
20150514,2015-05-14,2015,Q2,5,May,14
20150515,2015-05-15,2015,Q2,5,May,15
20150516,2015-05-16,2015,Q2,5,May,16
20150517,2015-05-17,2015,Q2,5,May,17
20150518,2015-05-18,2015,Q2,5,May,18
20150519,2015-05-19,2015,Q2,5,May,19
20150520,2015-05-20,2015,Q2,5,May,20
20150521,2015-05-21,2015,Q2,5,May,21
20150522,2015-05-22,2015,Q2,5,May,22
20150523,2015-05-23,2015,Q2,5,May,23
20150524,2015-05-24,2015,Q2,5,May,24
20150525,2015-05-25,2015,Q2,5,May,25
20150526,2015-05-26,2015,Q2,5,May,26
20150527,2015-05-27,2015,Q2,5,May,27
20150528,2015-05-28,2015,Q2,5,May,28
20150529,2015-05-29,2015,Q2,5,May,29
20150530,2015-05-30,2015,Q2,5,May,30
20150531,2015-05-31,2015,Q2,5,May,31
20150601,2015-06-01,2015,Q2,6,June,1
20150602,2015-06-02,2015,Q2,6,June,2
20150603,2015-06-03,2015,Q2,6,June,3
20150604,2015-06-04,2015,Q2,6,June,4
20150605,2015-06-05,2015,Q2,6,June,5
20150606,2015-06-06,2015,Q2,6,June,6
20150607,2015-06-07,2015,Q2,6,June,7
20150608,2015-06-08,2015,Q2,6,June,8
20150609,2015-06-09,2015,Q2,6,June,9
20150610,2015-06-10,2015,Q2,6,June,10
20150611,2015-06-11,2015,Q2,6,June,11
20150612,2015-06-12,2015,Q2,6,June,12
20150613,2015-06-13,2015,Q2,6,June,13
20150614,2015-06-14,2015,Q2,6,June,14
20150615,2015-06-15,2015,Q2,6,June,15
20150616,2015-06-16,2015,Q2,6,June,16
20150617,2015-06-17,2015,Q2,6,June,17
20150618,2015-06-18,2015,Q2,6,June,18
20150619,2015-06-19,2015,Q2,6,June,19
20150620,2015-06-20,2015,Q2,6,June,20
20150621,2015-06-21,2015,Q2,6,June,21
20150622,2015-06-22,2015,Q2,6,June,22
20150623,2015-06-23,2015,Q2,6,June,23
20150624,2015-06-24,2015,Q2,6,June,24
20150625,2015-06-25,2015,Q2,6,June,25
20150626,2015-06-26,2015,Q2,6,June,26
20150627,2015-06-27,2015,Q2,6,June,27
20150628,2015-06-28,2015,Q2,6,June,28
20150629,2015-06-29,2015,Q2,6,June,29
20150630,2015-06-30,2015,Q2,6,June,30
20150701,2015-07-01,2015,Q3,7,July,1
20150702,2015-07-02,2015,Q3,7,July,2
20150703,2015-07-03,2015,Q3,7,July,3
20150704,2015-07-04,2015,Q3,7,July,4
20150705,2015-07-05,2015,Q3,7,July,5
20150706,2015-07-06,2015,Q3,7,July,6
20150707,2015-07-07,2015,Q3,7,July,7
20150708,2015-07-08,2015,Q3,7,July,8
20150709,2015-07-09,2015,Q3,7,July,9
20150710,2015-07-10,2015,Q3,7,July,10
20150711,2015-07-11,2015,Q3,7,July,11
20150712,2015-07-12,2015,Q3,7,July,12
20150713,2015-07-13,2015,Q3,7,July,13
20150714,2015-07-14,2015,Q3,7,July,14
20150715,2015-07-15,2015,Q3,7,July,15
20150716,2015-07-16,2015,Q3,7,July,16
20150717,2015-07-17,2015,Q3,7,July,17
20150718,2015-07-18,2015,Q3,7,July,18
20150719,2015-07-19,2015,Q3,7,July,19
20150720,2015-07-20,2015,Q3,7,July,20
20150721,2015-07-21,2015,Q3,7,July,21
20150722,2015-07-22,2015,Q3,7,July,22
20150723,2015-07-23,2015,Q3,7,July,23
20150724,2015-07-24,2015,Q3,7,July,24
20150725,2015-07-25,2015,Q3,7,July,25
20150726,2015-07-26,2015,Q3,7,July,26
20150727,2015-07-27,2015,Q3,7,July,27
20150728,2015-07-28,2015,Q3,7,July,28
20150729,2015-07-29,2015,Q3,7,July,29
20150730,2015-07-30,2015,Q3,7,July,30
20150731,2015-07-31,2015,Q3,7,July,31
20150801,2015-08-01,2015,Q3,8,August,1
20150802,2015-08-02,2015,Q3,8,August,2
20150803,2015-08-03,2015,Q3,8,August,3
20150804,2015-08-04,2015,Q3,8,August,4
20150805,2015-08-05,2015,Q3,8,August,5
20150806,2015-08-06,2015,Q3,8,August,6
20150807,2015-08-07,2015,Q3,8,August,7
20150808,2015-08-08,2015,Q3,8,August,8
20150809,2015-08-09,2015,Q3,8,August,9
20150810,2015-08-10,2015,Q3,8,August,10
20150811,2015-08-11,2015,Q3,8,August,11
20150812,2015-08-12,2015,Q3,8,August,12
20150813,2015-08-13,2015,Q3,8,August,13
20150814,2015-08-14,2015,Q3,8,August,14
20150815,2015-08-15,2015,Q3,8,August,15
20150816,2015-08-16,2015,Q3,8,August,16
20150817,2015-08-17,2015,Q3,8,August,17
20150818,2015-08-18,2015,Q3,8,August,18
20150819,2015-08-19,2015,Q3,8,August,19
20150820,2015-08-20,2015,Q3,8,August,20
20150821,2015-08-21,2015,Q3,8,August,21
20150822,2015-08-22,2015,Q3,8,August,22
20150823,2015-08-23,2015,Q3,8,August,23
20150824,2015-08-24,2015,Q3,8,August,24
20150825,2015-08-25,2015,Q3,8,August,25
20150826,2015-08-26,2015,Q3,8,August,26
20150827,2015-08-27,2015,Q3,8,August,27
20150828,2015-08-28,2015,Q3,8,August,28
20150829,2015-08-29,2015,Q3,8,August,29
20150830,2015-08-30,2015,Q3,8,August,30
20150831,2015-08-31,2015,Q3,8,August,31
20150901,2015-09-01,2015,Q3,9,September,1
20150902,2015-09-02,2015,Q3,9,September,2
20150903,2015-09-03,2015,Q3,9,September,3
20150904,2015-09-04,2015,Q3,9,September,4
20150905,2015-09-05,2015,Q3,9,September,5
20150906,2015-09-06,2015,Q3,9,September,6
20150907,2015-09-07,2015,Q3,9,September,7
20150908,2015-09-08,2015,Q3,9,September,8
20150909,2015-09-09,2015,Q3,9,September,9
20150910,2015-09-10,2015,Q3,9,September,10
20150911,2015-09-11,2015,Q3,9,September,11
20150912,2015-09-12,2015,Q3,9,September,12
20150913,2015-09-13,2015,Q3,9,September,13
20150914,2015-09-14,2015,Q3,9,September,14
20150915,2015-09-15,2015,Q3,9,September,15
20150916,2015-09-16,2015,Q3,9,September,16
20150917,2015-09-17,2015,Q3,9,September,17
20150918,2015-09-18,2015,Q3,9,September,18
20150919,2015-09-19,2015,Q3,9,September,19
20150920,2015-09-20,2015,Q3,9,September,20
20150921,2015-09-21,2015,Q3,9,September,21
20150922,2015-09-22,2015,Q3,9,September,22
20150923,2015-09-23,2015,Q3,9,September,23
20150924,2015-09-24,2015,Q3,9,September,24
20150925,2015-09-25,2015,Q3,9,September,25
20150926,2015-09-26,2015,Q3,9,September,26
20150927,2015-09-27,2015,Q3,9,September,27
20150928,2015-09-28,2015,Q3,9,September,28
20150929,2015-09-29,2015,Q3,9,September,29
20150930,2015-09-30,2015,Q3,9,September,30
20151001,2015-10-01,2015,Q4,10,October,1
20151002,2015-10-02,2015,Q4,10,October,2
20151003,2015-10-03,2015,Q4,10,October,3
20151004,2015-10-04,2015,Q4,10,October,4
20151005,2015-10-05,2015,Q4,10,October,5
20151006,2015-10-06,2015,Q4,10,October,6
20151007,2015-10-07,2015,Q4,10,October,7
20151008,2015-10-08,2015,Q4,10,October,8
20151009,2015-10-09,2015,Q4,10,October,9
20151010,2015-10-10,2015,Q4,10,October,10
20151011,2015-10-11,2015,Q4,10,October,11
20151012,2015-10-12,2015,Q4,10,October,12
20151013,2015-10-13,2015,Q4,10,October,13
20151014,2015-10-14,2015,Q4,10,October,14
20151015,2015-10-15,2015,Q4,10,October,15
20151016,2015-10-16,2015,Q4,10,October,16
20151017,2015-10-17,2015,Q4,10,October,17
20151018,2015-10-18,2015,Q4,10,October,18
20151019,2015-10-19,2015,Q4,10,October,19
20151020,2015-10-20,2015,Q4,10,October,20
20151021,2015-10-21,2015,Q4,10,October,21
20151022,2015-10-22,2015,Q4,10,October,22
20151023,2015-10-23,2015,Q4,10,October,23
20151024,2015-10-24,2015,Q4,10,October,24
20151025,2015-10-25,2015,Q4,10,October,25
20151026,2015-10-26,2015,Q4,10,October,26
20151027,2015-10-27,2015,Q4,10,October,27
20151028,2015-10-28,2015,Q4,10,October,28
20151029,2015-10-29,2015,Q4,10,October,29
20151030,2015-10-30,2015,Q4,10,October,30
20151031,2015-10-31,2015,Q4,10,October,31
20151101,2015-11-01,2015,Q4,11,November,1
20151102,2015-11-02,2015,Q4,11,November,2
20151103,2015-11-03,2015,Q4,11,November,3
20151104,2015-11-04,2015,Q4,11,November,4
20151105,2015-11-05,2015,Q4,11,November,5
20151106,2015-11-06,2015,Q4,11,November,6
20151107,2015-11-07,2015,Q4,11,November,7
20151108,2015-11-08,2015,Q4,11,November,8
20151109,2015-11-09,2015,Q4,11,November,9
20151110,2015-11-10,2015,Q4,11,November,10
20151111,2015-11-11,2015,Q4,11,November,11
20151112,2015-11-12,2015,Q4,11,November,12
20151113,2015-11-13,2015,Q4,11,November,13
20151114,2015-11-14,2015,Q4,11,November,14
20151115,2015-11-15,2015,Q4,11,November,15
20151116,2015-11-16,2015,Q4,11,November,16
20151117,2015-11-17,2015,Q4,11,November,17
20151118,2015-11-18,2015,Q4,11,November,18
20151119,2015-11-19,2015,Q4,11,November,19
20151120,2015-11-20,2015,Q4,11,November,20
20151121,2015-11-21,2015,Q4,11,November,21
20151122,2015-11-22,2015,Q4,11,November,22
20151123,2015-11-23,2015,Q4,11,November,23
20151124,2015-11-24,2015,Q4,11,November,24
20151125,2015-11-25,2015,Q4,11,November,25
20151126,2015-11-26,2015,Q4,11,November,26
20151127,2015-11-27,2015,Q4,11,November,27
